SampleID,Barcode,WellPosition,Comment
Sample 1,Barcode01,A1,
Sample 2,Barcode02,B1,
Sample 3,Barcode03,C1,
Sample 4,Barcode04,D1,
Sample 5,Barcode05,E1,
Sample 6,Barcode06,F1,
Sample 7,Barcode07,G1,
Sample 8,Barcode08,H1,
Sample 9,Barcode09,A2,
Sample 10,Barcode10,B2,
Sample 11,Barcode11,C2,
Sample 12,Barcode12,D2,
Sample 13,Barcode13,E2,
Sample 14,Barcode14,F2,
Sample 15,Barcode15,G2,
Sample 16,Barcode16,H2,
Sample 17,Barcode17,A3,
Sample 18,Barcode18,B3,
Sample 19,Barcode19,C3,
Sample 20,Barcode20,D3,
Sample 21,Barcode21,E3,
Sample 22,Barcode22,F3,
Sample 23,Barcode23,G3,
Sample 24,Barcode24,H3,
Sample 25,Barcode25,A4,
Sample 26,Barcode26,B4,
Sample 27,Barcode27,C4,
Sample 28,Barcode28,D4,
Sample 29,Barcode29,E4,
Sample 30,Barcode30,F4,
Sample 31,Barcode31,G4,
Sample 32,Barcode32,H4,
Sample 33,Barcode33,A5,
Sample 34,Barcode34,B5,
Sample 35,Barcode35,C5,
Sample 36,Barcode36,D5,
Sample 37,Barcode37,E5,
Sample 38,Barcode38,F5,
Sample 39,Barcode39,G5,
Sample 40,Barcode40,H5,
Sample 41,Barcode41,A6,
Sample 42,Barcode42,B6,
Sample 43,Barcode43,C6,
Sample 44,Barcode44,D6,
Sample 45,Barcode45,E6,
Sample 46,Barcode46,F6,
Sample 47,Barcode47,G6,
Sample 48,Barcode48,H6,
Sample 49,Barcode49,A7,
Sample 50,Barcode50,B7,
Sample 51,Barcode51,C7,
Sample 52,Barcode52,D7,
Sample 53,Barcode53,E7,
Sample 54,Barcode54,F7,
Sample 55,Barcode55,G7,
Sample 56,Barcode56,H7,
Sample 57,Barcode57,A8,
Sample 58,Barcode58,B8,
Sample 59,Barcode59,C8,
Sample 60,Barcode60,D8,
Sample 61,Barcode61,E8,
Sample 62,Barcode62,F8,
Sample 63,Barcode63,G8,
Sample 64,Barcode64,H8,
Sample 65,Barcode65,A9,
Sample 66,Barcode66,B9,
Sample 67,Barcode67,C9,
Sample 68,Barcode68,D9,
Sample 69,Barcode69,E9,
Sample 70,Barcode70,F9,
Sample 71,Barcode71,G9,
Sample 72,Barcode72,H9,
Sample 73,Barcode73,A10,
Sample 74,Barcode74,B10,
Sample 75,Barcode75,C10,
Sample 76,Barcode76,D10,
Sample 77,Barcode77,E10,
Sample 78,Barcode78,F10,
Sample 79,Barcode79,G10,
Sample 80,Barcode80,H10,
Sample 81,Barcode81,A11,
Sample 82,Barcode82,B11,
Sample 83,Barcode83,C11,
Sample 84,Barcode84,D11,
Sample 85,Barcode85,E11,
Sample 86,Barcode86,F11,
Sample 87,Barcode87,G11,
Sample 88,Barcode88,H11,
Sample 89,Barcode89,A12,
Sample 90,Barcode90,B12,
Sample 91,Barcode91,C12,
Sample 92,Barcode92,D12,
Sample 93,Barcode93,E12,
Sample 94,Barcode94,F12,
Sample 95,Barcode95,G12,
Sample 96,Barcode96,H12,
